Date,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,P0001,Toys,South,477,271,66,286.65,15.62,15,Sunny,0,16.09,Winter
2022-01-01,P0002,Clothing,North,462,180,183,176.06,41.13,5,Sunny,0,45.05,Autumn
2022-01-01,P0003,Clothing,West,446,344,27,352.93,89.32,20,Cloudy,0,93.0,Autumn
2022-01-01,P0004,Groceries,West,437,0,160,-2.4,87.23,10,Sunny,0,90.36,Spring
2022-01-01,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring
2022-01-01,P0006,Electronics,East,470,382,195,396.4,41.35,10,Snowy,0,39.86,Summer
2022-01-01,P0007,Electronics,West,264,190,139,197.45,67.26,20,Cloudy,0,64.78,Summer
2022-01-01,P0008,Furniture,South,250,51,137,54.98,85.88,20,Snowy,1,86.14,Winter
2022-01-01,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer
2022-01-01,P0010,Groceries,East,447,104,96,115.03,33.48,15,Cloudy,0,37.15,Summer
2022-01-01,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring
2022-01-01,P0012,Electronics,North,349,9,165,0.95,14.25,5,Rainy,1,18.56,Spring
2022-01-01,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn
2022-01-01,P0014,Electronics,West,406,63,139,69.73,66.94,10,Snowy,1,68.47,Winter
2022-01-01,P0015,Clothing,South,228,181,127,171.96,60.54,5,Cloudy,0,65.27,Autumn
2022-01-01,P0016,Groceries,South,263,94,24,98.05,94.26,15,Rainy,0,96.74,Summer
2022-01-01,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter
2022-01-01,P0018,Groceries,West,143,8,27,27.3,16.73,5,Cloudy,1,18.79,Spring
2022-01-01,P0019,Groceries,West,359,172,125,181.25,71.2,15,Rainy,1,73.85,Spring
2022-01-01,P0020,Clothing,West,211,68,37,86.27,11.5,20,Snowy,0,9.26,Winter
2022-01-02,P0001,Electronics,North,144,22,45,39.12,74.16,15,Rainy,0,69.74,Autumn
2022-01-02,P0002,Electronics,East,283,45,156,46.65,59.38,0,Sunny,1,62.4,Spring
2022-01-02,P0003,Clothing,East,347,89,122,87.77,48.18,0,Sunny,1,49.64,Spring
2022-01-02,P0004,Groceries,East,410,209,128,224.66,94.75,20,Snowy,0,90.1,Autumn
2022-01-02,P0005,Toys,West,99,4,76,14.91,60.89,5,Sunny,0,59.42,Autumn
2022-01-02,P0006,Toys,East,97,47,138,52.02,14.71,5,Cloudy,0,16.85,Autumn
2022-01-02,P0007,Furniture,West,339,115,95,124.22,33.09,10,Rainy,0,28.55,Spring
2022-01-02,P0008,Toys,South,144,27,119,21.73,98.75,15,Snowy,0,102.7,Summer
2022-01-02,P0009,Furniture,South,110,90,28,103.6,12.4,20,Snowy,0,8.56,Autumn
2022-01-02,P0010,Groceries,South,348,206,67,214.99,92.01,15,Snowy,1,87.81,Autumn
2022-01-02,P0011,Toys,East,458,328,144,339.54,92.12,20,Sunny,1,87.37,Spring
2022-01-02,P0012,Groceries,South,403,155,24,145.99,37.39,20,Sunny,0,38.71,Spring
2022-01-02,P0013,Clothing,West,198,184,161,191.55,85.35,10,Rainy,1,80.79,Spring
2022-01-02,P0014,Electronics,East,472,16,166,28.75,82.64,0,Cloudy,0,78.35,Autumn
2022-01-02,P0015,Toys,North,178,90,79,98.56,92.19,10,Snowy,1,97.07,Summer
2022-01-02,P0016,Clothing,West,215,178,111,180.76,61.41,0,Sunny,0,61.32,Spring
2022-01-02,P0017,Electronics,South,477,256,150,254.89,96.47,20,Cloudy,0,93.35,Spring
2022-01-02,P0018,Furniture,South,198,27,62,25.51,89.33,0,Sunny,0,89.63,Spring
2022-01-02,P0019,Groceries,North,110,67,83,79.41,59.49,20,Rainy,1,57.55,Spring
